Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
68,Masculino,Luvas,54.0,Venmo,26,Duas vezes/semana
39,Masculino,Shorts,67.0,Dinheiro,47,Trimestral
46,Masculino,Sapato,90.0,Cartao de Credito,7,A cada 3 meses
57,Masculino,Jeans,72.0,Transferencia Bancaria,40,Anual
47,Masculino,Botas,59.0,Dinheiro,45,Trimestral
40,Masculino,Bone,45.0,Cartao de Debito,20,Quinzenal
52,Masculino,Shorts,30.0,Transferencia Bancaria,11,Semanal
40,Masculino,Calca,51.0,PayPal,50,Mensal
67,Masculino,Sueter,90.0,Venmo,25,Trimestral
67,Masculino,Jaqueta,95.0,Venmo,5,Quinzenal
37,Masculino,Vestido,81.0,Venmo,4,Anual
67,Masculino,Camisa,70.0,Cartao de Credito,25,Semanal
64,Masculino,Vestido,32.0,PayPal,11,Quinzenal
28,Masculino,Cinto,94.0,Cartao de Debito,4,Duas vezes/semana
54,Masculino,Bone,29.0,PayPal,1,Mensal
54,Masculino,Mochila,31.0,Cartao de Debito,48,A cada 3 meses
24,Masculino,Saia,20.0,Cartao de Debito,9,A cada 3 meses
27,Masculino,Luvas,44.0,Cartao de Credito,2,Quinzenal
53,Masculino,Jaqueta,77.0,Cartao de Credito,4,Trimestral
32,Masculino,Bolsa,51.0,Cartao de Debito,43,Quinzenal
24,Masculino,Sandalias,49.0,Cartao de Debito,32,Anual
45,Masculino,Óculos de Sol,78.0,Dinheiro,1,Trimestral
49,Masculino,Jeans,98.0,PayPal,38,Quinzenal
51,Masculino,Sandalias,94.0,Venmo,25,Quinzenal
69,Masculino,Sapato,91.0,Dinheiro,42,Trimestral
41,Masculino,Óculos de Sol,77.0,PayPal,32,Mensal
59,Masculino,Cachecol,97.0,Cartao de Credito,21,Trimestral
26,Masculino,Saia,58.0,Transferencia Bancaria,26,Quinzenal
23,Masculino,Luvas,97.0,Dinheiro,6,Quinzenal
62,Masculino,Casaco,48.0,Cartao de Debito,14,Trimestral
69,Masculino,Cinto,23.0,Cartao de Debito,4,Trimestral
46,Masculino,Calca,79.0,Cartao de Credito,26,Semanal
35,Masculino,Joias,42.0,Dinheiro,39,Duas vezes/semana
32,Masculino,Mochila,95.0,Cartao de Debito,15,Anual
46,Masculino,Tenis,29.0,Venmo,1,A cada 3 meses
33,Masculino,Agasalho,98.0,PayPal,28,Mensal
32,Masculino,Blusa,96.0,Dinheiro,17,Semanal
33,Masculino,Óculos de Sol,66.0,Transferencia Bancaria,24,Semanal
67,Masculino,Botas,80.0,Cartao de Credito,29,Trimestral
67,Masculino,Tenis,27.0,Dinheiro,18,A cada 3 meses
42,Masculino,Mochila,25.0,PayPal,10,Duas vezes/semana
20,Masculino,Calca,45.0,Cartao de Debito,19,Trimestral
39,Masculino,Meias,89.0,Cartao de Credito,26,Mensal
26,Masculino,Cinto,27.0,Venmo,25,Duas vezes/semana
51,Masculino,Óculos de Sol,90.0,Cartao de Debito,2,Quinzenal
31,Masculino,Camisa,65.0,Dinheiro,19,A cada 3 meses
68,Masculino,Tenis,72.0,Venmo,32,Trimestral
44,Masculino,Sapato,70.0,Dinheiro,13,Duas vezes/semana
18,Masculino,Sandalias,82.0,PayPal,30,Quinzenal
58,Masculino,Cachecol,97.0,Cartao de Debito,2,Anual
26,Masculino,Camisa,25.0,Dinheiro,8,Trimestral
57,Masculino,Saia,48.0,PayPal,27,A cada 3 meses
37,Masculino,Botas,99.0,Venmo,26,Duas vezes/semana
24,Masculino,Sueter,21.0,Venmo,3,Duas vezes/semana
57,Masculino,Sandalias,94.0,Cartao de Debito,4,Mensal
48,Masculino,Jeans,53.0,Transferencia Bancaria,5,Quinzenal
39,Masculino,Mochila,70.0,PayPal,25,Trimestral
51,Masculino,Saia,26.0,Venmo,47,Duas vezes/semana
57,Masculino,Cinto,82.0,Cartao de Debito,8,Quinzenal
53,Masculino,Sapato,47.0,Cartao de Credito,20,Quinzenal
70,Masculino,Meias,32.0,Venmo,42,A cada 3 meses
60,Masculino,Mochila,97.0,Cartao de Debito,20,Semanal
31,Masculino,Camisa,68.0,PayPal,23,Quinzenal
41,Masculino,Sueter,23.0,Cartao de Credito,26,Trimestral
62,Masculino,Bolsa,33.0,Cartao de Debito,48,Trimestral
59,Masculino,Joias,38.0,Transferencia Bancaria,16,Duas vezes/semana
46,Masculino,Meias,68.0,Transferencia Bancaria,28,Duas vezes/semana
62,Masculino,Meias,23.0,Transferencia Bancaria,39,Semanal
42,Masculino,Camisa,29.0,Transferencia Bancaria,43,Quinzenal
37,Masculino,Cachecol,35.0,Transferencia Bancaria,45,A cada 3 meses
50,Masculino,Sapato,73.0,Venmo,50,A cada 3 meses
29,Masculino,Sapato,84.0,Dinheiro,10,Duas vezes/semana
25,Masculino,Cachecol,23.0,Transferencia Bancaria,40,Trimestral
66,Masculino,Óculos de Sol,67.0,Venmo,38,Mensal
21,Masculino,Meias,51.0,Cartao de Credito,2,Mensal
46,Masculino,Blusa,36.0,Cartao de Credito,13,Anual
57,Masculino,Jeans,55.0,Dinheiro,33,Anual
61,Masculino,Shorts,30.0,Cartao de Credito,27,Mensal
53,Masculino,Camiseta,70.0,Venmo,43,Semanal
37,Masculino,Blusa,63.0,PayPal,46,Semanal
39,Masculino,Cinto,87.0,Dinheiro,7,Duas vezes/semana
53,Masculino,Blusa,70.0,Cartao de Debito,35,Quinzenal
35,Masculino,Camiseta,51.0,Dinheiro,31,Duas vezes/semana
69,Masculino,Joias,25.0,Cartao de Debito,42,Trimestral
66,Masculino,Jaqueta,32.0,Dinheiro,14,Duas vezes/semana
19,Masculino,Sapato,52.0,Cartao de Credito,35,Mensal
47,Masculino,Luvas,33.0,PayPal,49,Semanal
49,Masculino,Jeans,68.0,Dinheiro,17,Quinzenal
31,Masculino,Joias,20.0,PayPal,26,Trimestral
39,Masculino,Calca,32.0,Transferencia Bancaria,30,A cada 3 meses
58,Masculino,Joias,82.0,Dinheiro,32,Anual
45,Masculino,Tenis,64.0,Cartao de Credito,35,Trimestral
68,Masculino,Botas,24.0,Cartao de Debito,15,Anual
35,Masculino,Bone,96.0,Cartao de Credito,10,Anual
65,Masculino,Camiseta,94.0,Dinheiro,14,Mensal
45,Masculino,Mochila,48.0,PayPal,30,Anual
19,Masculino,Óculos de Sol,60.0,Transferencia Bancaria,16,Quinzenal
65,Masculino,Sueter,56.0,PayPal,14,Anual
28,Masculino,Bolsa,33.0,Cartao de Debito,28,Semanal
55,Masculino,Mochila,46.0,Dinheiro,29,Mensal
66,Masculino,Meias,37.0,Cartao de Credito,5,A cada 3 meses
29,Masculino,Camisa,98.0,Cartao de Debito,17,Trimestral
56,Masculino,Shorts,50.0,Dinheiro,50,Semanal
21,Masculino,Cinto,63.0,Cartao de Debito,23,Trimestral
32,Masculino,Sueter,70.0,PayPal,22,Anual
54,Masculino,Casaco,63.0,PayPal,15,Trimestral
61,Masculino,Shorts,86.0,Venmo,32,Mensal
31,Masculino,Sapato,99.0,Transferencia Bancaria,5,Mensal
27,Masculino,Tenis,40.0,PayPal,6,Duas vezes/semana
64,Masculino,Tenis,92.0,Cartao de Credito,44,Quinzenal
60,Masculino,Calca,21.0,Dinheiro,23,Quinzenal
70,Masculino,Joias,81.0,Cartao de Credito,44,Mensal
36,Masculino,Camiseta,82.0,Dinheiro,3,Trimestral
56,Masculino,Joias,88.0,Dinheiro,14,Mensal
69,Masculino,Jaqueta,100.0,Cartao de Debito,37,Trimestral
39,Masculino,Mochila,66.0,Cartao de Credito,22,Semanal
38,Masculino,Cinto,25.0,Cartao de Debito,2,A cada 3 meses
36,Masculino,Cachecol,53.0,Cartao de Credito,44,Quinzenal
46,Masculino,Sueter,28.0,Transferencia Bancaria,49,Mensal
59,Masculino,Luvas,23.0,Dinheiro,22,Duas vezes/semana
64,Masculino,Cachecol,34.0,Transferencia Bancaria,26,Anual
49,Masculino,Vestido,42.0,Venmo,40,Semanal
32,Masculino,Jeans,24.0,Cartao de Debito,16,Trimestral
29,Masculino,Óculos de Sol,47.0,Cartao de Credito,17,Duas vezes/semana
24,Masculino,Casaco,78.0,Cartao de Credito,48,Duas vezes/semana
41,Masculino,Jeans,89.0,Dinheiro,28,A cada 3 meses
41,Masculino,Cachecol,59.0,Cartao de Credito,26,Quinzenal
32,Masculino,Blusa,94.0,Transferencia Bancaria,43,Trimestral
69,Masculino,Jeans,49.0,Dinheiro,38,Semanal
65,Masculino,Vestido,89.0,Cartao de Credito,36,A cada 3 meses
54,Masculino,Bone,91.0,Cartao de Credito,1,Semanal
39,Masculino,Sandalias,89.0,Dinheiro,49,Anual
37,Masculino,Jaqueta,57.0,Dinheiro,41,A cada 3 meses
51,Masculino,Meias,71.0,Cartao de Debito,21,Mensal
26,Masculino,Jeans,97.0,PayPal,24,Trimestral
42,Masculino,Sandalias,45.0,Transferencia Bancaria,27,Semanal
21,Masculino,Vestido,91.0,Venmo,4,Anual
53,Masculino,Meias,25.0,Transferencia Bancaria,19,Anual
36,Masculino,Agasalho,63.0,Cartao de Credito,1,Quinzenal
21,Masculino,Vestido,52.0,Cartao de Debito,27,Anual
33,Masculino,Tenis,43.0,Cartao de Credito,5,Semanal
49,Masculino,Camiseta,28.0,Cartao de Credito,20,Trimestral
31,Masculino,Camiseta,78.0,Cartao de Debito,50,Anual
68,Masculino,Sueter,31.0,PayPal,36,Quinzenal
49,Masculino,Camisa,23.0,Dinheiro,12,Duas vezes/semana
23,Masculino,Bone,25.0,PayPal,23,Mensal
30,Masculino,Calca,86.0,PayPal,21,Semanal
53,Masculino,Sapato,88.0,Transferencia Bancaria,47,Semanal
65,Masculino,Luvas,35.0,Cartao de Credito,38,Duas vezes/semana
60,Masculino,Joias,34.0,Dinheiro,40,A cada 3 meses
46,Masculino,Calca,75.0,PayPal,35,Trimestral
54,Masculino,Agasalho,46.0,Cartao de Debito,4,Trimestral
59,Masculino,Joias,31.0,Dinheiro,28,A cada 3 meses
52,Masculino,Meias,93.0,Dinheiro,36,A cada 3 meses
41,Masculino,Óculos de Sol,85.0,Cartao de Credito,15,Anual
43,Masculino,Cinto,68.0,Cartao de Credito,7,Quinzenal
63,Masculino,Vestido,40.0,Cartao de Credito,29,A cada 3 meses
37,Masculino,Camisa,51.0,Cartao de Credito,12,Anual
44,Masculino,Cachecol,85.0,Cartao de Credito,16,Duas vezes/semana
67,Masculino,Jaqueta,23.0,PayPal,50,Duas vezes/semana
27,Masculino,Vestido,28.0,Transferencia Bancaria,11,Anual
60,Masculino,Meias,44.0,Transferencia Bancaria,28,Trimestral
58,Masculino,Joias,57.0,Cartao de Debito,36,Duas vezes/semana
53,Masculino,Cachecol,98.0,Venmo,38,Trimestral
43,Masculino,Mochila,68.0,Cartao de Credito,32,Mensal
32,Masculino,Jaqueta,36.0,PayPal,42,Semanal
54,Masculino,Casaco,71.0,Dinheiro,22,Duas vezes/semana
47,Masculino,Saia,60.0,Venmo,22,Trimestral
57,Masculino,Casaco,87.0,Cartao de Credito,31,Trimestral
63,Masculino,Sapato,38.0,PayPal,28,Mensal
70,Masculino,Botas,45.0,Cartao de Credito,40,Semanal
62,Masculino,Casaco,47.0,PayPal,21,Semanal
40,Masculino,Saia,57.0,Cartao de Credito,12,A cada 3 meses
25,Masculino,Mochila,68.0,Cartao de Debito,33,Anual
19,Masculino,Shorts,52.0,Cartao de Credito,9,Quinzenal
25,Masculino,Saia,87.0,PayPal,15,Semanal
21,Masculino,Bone,34.0,PayPal,13,Anual
55,Masculino,Sandalias,41.0,Venmo,35,Quinzenal
34,Masculino,Óculos de Sol,94.0,Cartao de Credito,1,A cada 3 meses
47,Masculino,Óculos de Sol,93.0,Transferencia Bancaria,25,Quinzenal
27,Masculino,Meias,51.0,Transferencia Bancaria,20,A cada 3 meses
67,Masculino,Sueter,42.0,Venmo,36,Trimestral
40,Masculino,Botas,95.0,Cartao de Credito,33,Semanal
53,Masculino,Bolsa,90.0,Dinheiro,36,Quinzenal
24,Masculino,Vestido,98.0,Cartao de Credito,32,Anual
47,Masculino,Bone,39.0,Venmo,21,Trimestral
53,Masculino,Sandalias,66.0,Cartao de Debito,48,Duas vezes/semana
47,Masculino,Sapato,23.0,Dinheiro,25,Trimestral
38,Masculino,Saia,73.0,Cartao de Debito,32,Anual
48,Masculino,Óculos de Sol,23.0,Cartao de Debito,45,A cada 3 meses
47,Masculino,Saia,43.0,PayPal,4,Quinzenal
19,Masculino,Camiseta,45.0,PayPal,19,Duas vezes/semana
38,Masculino,Sandalias,21.0,Transferencia Bancaria,1,Semanal
57,Masculino,Camisa,40.0,PayPal,12,Semanal
70,Masculino,Jeans,58.0,Venmo,18,Mensal
38,Masculino,Shorts,48.0,Transferencia Bancaria,43,Duas vezes/semana
35,Masculino,Camisa,94.0,Cartao de Credito,31,Anual
46,Masculino,Cachecol,74.0,Cartao de Debito,33,A cada 3 meses
32,Masculino,Bolsa,51.0,Cartao de Debito,46,Mensal
38,Masculino,Saia,83.0,PayPal,41,Duas vezes/semana
41,Masculino,Bolsa,68.0,Cartao de Debito,41,Quinzenal
19,Masculino,Luvas,84.0,Cartao de Credito,9,Quinzenal
18,Masculino,Camisa,58.0,PayPal,34,Anual
45,Masculino,Blusa,92.0,Transferencia Bancaria,21,Anual
23,Masculino,Vestido,69.0,Cartao de Credito,5,Quinzenal
60,Masculino,Shorts,48.0,Cartao de Credito,32,Semanal
52,Masculino,Sapato,60.0,Transferencia Bancaria,44,Mensal
42,Masculino,Sandalias,20.0,Venmo,46,Duas vezes/semana
29,Masculino,Calca,55.0,Transferencia Bancaria,42,A cada 3 meses
31,Masculino,Jaqueta,88.0,Venmo,50,Duas vezes/semana
30,Masculino,Saia,48.0,Venmo,33,Quinzenal
23,Masculino,Bolsa,74.0,Transferencia Bancaria,32,Trimestral
31,Masculino,Casaco,42.0,PayPal,32,Duas vezes/semana
40,Masculino,Sueter,32.0,PayPal,37,A cada 3 meses
39,Masculino,Shorts,98.0,Cartao de Credito,9,Quinzenal
28,Masculino,Saia,89.0,Transferencia Bancaria,6,Quinzenal
23,Masculino,Luvas,97.0,Dinheiro,36,Trimestral
42,Masculino,Mochila,49.0,Dinheiro,1,Anual
68,Masculino,Vestido,50.0,Transferencia Bancaria,48,Quinzenal
24,Masculino,Cinto,91.0,Venmo,44,Trimestral
24,Masculino,Luvas,93.0,Transferencia Bancaria,9,Duas vezes/semana
21,Masculino,Joias,98.0,Cartao de Debito,32,Anual
49,Masculino,Meias,82.0,Cartao de Credito,14,Mensal
41,Masculino,Casaco,37.0,Cartao de Debito,43,Trimestral
22,Masculino,Bolsa,63.0,Venmo,32,Duas vezes/semana
42,Masculino,Blusa,99.0,Dinheiro,26,Duas vezes/semana
30,Masculino,Shorts,37.0,PayPal,2,Mensal
38,Masculino,Sapato,34.0,PayPal,16,A cada 3 meses
40,Masculino,Shorts,32.0,Venmo,50,A cada 3 meses
55,Masculino,Sandalias,23.0,Transferencia Bancaria,6,A cada 3 meses
37,Masculino,Blusa,78.0,Venmo,20,Anual
41,Masculino,Casaco,54.0,PayPal,9,Semanal
38,Masculino,Blusa,94.0,PayPal,47,Duas vezes/semana
42,Masculino,Cinto,75.0,Cartao de Debito,33,Anual
26,Masculino,Blusa,69.0,Venmo,46,Duas vezes/semana
41,Masculino,Cachecol,35.0,Transferencia Bancaria,9,Mensal
27,Masculino,Camisa,78.0,Transferencia Bancaria,8,Mensal
61,Masculino,Meias,29.0,Cartao de Debito,48,Trimestral
58,Masculino,Jeans,62.0,Cartao de Credito,2,Mensal
25,Masculino,Vestido,58.0,Venmo,31,Semanal
33,Masculino,Botas,88.0,PayPal,40,Mensal
57,Masculino,Cachecol,80.0,Dinheiro,35,Mensal
39,Masculino,Cachecol,47.0,Transferencia Bancaria,40,Mensal
60,Masculino,Luvas,51.0,PayPal,27,A cada 3 meses
39,Masculino,Calca,25.0,Transferencia Bancaria,10,Anual
42,Masculino,Vestido,36.0,PayPal,23,Semanal
53,Masculino,Vestido,79.0,Venmo,32,Trimestral
20,Masculino,Jeans,41.0,Venmo,6,Mensal
46,Masculino,Sueter,68.0,PayPal,27,Semanal
46,Masculino,Sandalias,51.0,PayPal,25,Quinzenal
69,Masculino,Bolsa,38.0,Cartao de Debito,11,Anual
28,Masculino,Cachecol,46.0,Cartao de Debito,23,Mensal
42,Masculino,Sandalias,20.0,Cartao de Credito,44,Trimestral
30,Masculino,Óculos de Sol,25.0,Venmo,35,Quinzenal
50,Masculino,Sueter,89.0,PayPal,45,A cada 3 meses
59,Masculino,Calca,77.0,PayPal,22,Trimestral
54,Masculino,Bone,94.0,Cartao de Credito,18,Trimestral
50,Masculino,Cinto,100.0,Dinheiro,20,Semanal
25,Masculino,Sandalias,96.0,Cartao de Debito,28,Quinzenal
41,Masculino,Calca,36.0,Cartao de Credito,15,Duas vezes/semana
35,Masculino,Joias,27.0,Transferencia Bancaria,42,Quinzenal
67,Masculino,Óculos de Sol,67.0,Dinheiro,20,Trimestral
33,Masculino,Blusa,91.0,PayPal,16,Quinzenal
19,Masculino,Cinto,62.0,Dinheiro,47,Anual
25,Masculino,Shorts,88.0,Cartao de Debito,34,Anual
32,Masculino,Calca,66.0,PayPal,30,Semanal
30,Masculino,Sandalias,65.0,Cartao de Credito,5,Trimestral
18,Masculino,Luvas,25.0,Cartao de Credito,38,Trimestral
38,Masculino,Cinto,64.0,Cartao de Credito,18,Anual
22,Masculino,Camisa,72.0,Cartao de Credito,28,Anual
40,Masculino,Cachecol,74.0,Venmo,42,Quinzenal
54,Masculino,Luvas,50.0,Cartao de Debito,5,Semanal
70,Masculino,Calca,97.0,Transferencia Bancaria,50,Mensal
52,Masculino,Tenis,36.0,Cartao de Debito,33,Quinzenal
34,Masculino,Jaqueta,49.0,Dinheiro,1,Semanal
65,Masculino,Sapato,64.0,Transferencia Bancaria,14,Quinzenal
38,Masculino,Blusa,31.0,Cartao de Credito,48,Mensal
35,Masculino,Botas,66.0,Dinheiro,26,Semanal
40,Masculino,Meias,82.0,Cartao de Credito,44,Anual
23,Masculino,Camiseta,88.0,Venmo,18,Quinzenal
45,Masculino,Sandalias,34.0,Transferencia Bancaria,31,A cada 3 meses
40,Masculino,Tenis,84.0,Cartao de Credito,18,Semanal
42,Masculino,Joias,96.0,Transferencia Bancaria,41,A cada 3 meses
57,Masculino,Sandalias,71.0,Cartao de Credito,18,A cada 3 meses
18,Masculino,Jaqueta,77.0,Transferencia Bancaria,3,Duas vezes/semana
18,Masculino,Saia,66.0,PayPal,5,Duas vezes/semana
56,Masculino,Camisa,21.0,Dinheiro,13,Anual
35,Masculino,Shorts,37.0,Cartao de Credito,22,Anual
49,Masculino,Meias,90.0,Venmo,45,Quinzenal
49,Masculino,Jaqueta,96.0,Dinheiro,39,A cada 3 meses
34,Masculino,Joias,37.0,PayPal,18,Anual
63,Masculino,Camiseta,66.0,Dinheiro,19,Quinzenal
42,Masculino,Luvas,45.0,Transferencia Bancaria,29,Semanal
41,Masculino,Sapato,89.0,Venmo,19,Semanal
26,Masculino,Sapato,94.0,PayPal,22,Mensal
48,Masculino,Sapato,96.0,Venmo,21,Anual
62,Masculino,Agasalho,31.0,Cartao de Credito,22,Mensal
24,Masculino,Cinto,79.0,Venmo,44,A cada 3 meses
48,Masculino,Casaco,39.0,Venmo,42,Trimestral
31,Masculino,Blusa,22.0,Cartao de Debito,33,Trimestral
41,Masculino,Saia,32.0,PayPal,6,Anual
24,Masculino,Camiseta,71.0,Transferencia Bancaria,44,A cada 3 meses
60,Masculino,Jeans,96.0,Venmo,24,Anual
38,Masculino,Cachecol,82.0,Venmo,16,Trimestral
58,Masculino,Mochila,76.0,Dinheiro,12,Quinzenal
53,Masculino,Mochila,22.0,Venmo,50,Mensal
44,Masculino,Cachecol,40.0,PayPal,42,Trimestral
51,Masculino,Bone,92.0,Transferencia Bancaria,50,Mensal
36,Masculino,Casaco,94.0,Transferencia Bancaria,10,Trimestral
20,Masculino,Vestido,44.0,Transferencia Bancaria,32,Semanal
32,Masculino,Luvas,49.0,Venmo,37,Semanal
66,Masculino,Sueter,26.0,Cartao de Credito,15,Mensal
49,Masculino,Saia,38.0,Cartao de Credito,27,Anual
27,Masculino,Blusa,72.0,Cartao de Debito,7,Semanal
29,Masculino,Vestido,99.0,Dinheiro,49,Trimestral
29,Masculino,Jaqueta,38.0,Venmo,44,Mensal
55,Masculino,Casaco,96.0,Cartao de Credito,13,Duas vezes/semana
57,Masculino,Vestido,27.0,Dinheiro,38,Quinzenal
29,Masculino,Shorts,24.0,PayPal,10,Semanal
31,Masculino,Jeans,82.0,Transferencia Bancaria,25,Semanal
25,Masculino,Bone,56.0,Transferencia Bancaria,18,Trimestral
61,Masculino,Luvas,25.0,Dinheiro,6,A cada 3 meses
53,Masculino,Tenis,67.0,Transferencia Bancaria,35,Trimestral
22,Masculino,Sapato,21.0,Transferencia Bancaria,31,Quinzenal
28,Masculino,Agasalho,27.0,Transferencia Bancaria,41,Anual
18,Masculino,Tenis,97.0,Cartao de Debito,8,Anual
44,Masculino,Bolsa,45.0,Dinheiro,34,Quinzenal
32,Masculino,Blusa,63.0,Dinheiro,20,Anual
34,Masculino,Cinto,100.0,Dinheiro,38,A cada 3 meses
67,Masculino,Meias,38.0,PayPal,35,Trimestral
66,Masculino,Blusa,45.0,PayPal,6,Anual
28,Masculino,Joias,91.0,Cartao de Credito,50,Semanal
70,Masculino,Shorts,82.0,PayPal,47,Semanal
37,Masculino,Botas,48.0,Venmo,23,Trimestral
28,Masculino,Casaco,30.0,PayPal,13,Trimestral
43,Masculino,Camiseta,34.0,Cartao de Debito,31,Mensal
37,Masculino,Sueter,68.0,PayPal,16,A cada 3 meses
54,Masculino,Óculos de Sol,95.0,Venmo,40,Anual
50,Masculino,Bone,22.0,Cartao de Credito,45,Trimestral
46,Masculino,Luvas,88.0,PayPal,50,A cada 3 meses
60,Masculino,Meias,83.0,PayPal,1,Trimestral
40,Masculino,Bolsa,87.0,PayPal,10,A cada 3 meses
64,Masculino,Casaco,57.0,Cartao de Debito,48,A cada 3 meses
18,Masculino,Casaco,88.0,Venmo,38,Mensal
37,Masculino,Calca,20.0,Cartao de Debito,21,Anual
36,Masculino,Cinto,39.0,Dinheiro,38,Mensal
51,Masculino,Óculos de Sol,71.0,Transferencia Bancaria,31,Quinzenal
26,Masculino,Agasalho,73.0,Transferencia Bancaria,9,Quinzenal
68,Masculino,Bolsa,63.0,Dinheiro,47,Semanal
27,Masculino,Luvas,78.0,Dinheiro,8,Duas vezes/semana
28,Masculino,Saia,96.0,Transferencia Bancaria,30,Anual
49,Masculino,Óculos de Sol,81.0,Transferencia Bancaria,22,Trimestral
70,Masculino,Vestido,95.0,Dinheiro,3,Trimestral
30,Masculino,Luvas,68.0,Cartao de Credito,15,Mensal
27,Masculino,Tenis,28.0,PayPal,10,A cada 3 meses
19,Masculino,Camiseta,30.0,PayPal,19,A cada 3 meses
64,Masculino,Vestido,31.0,Venmo,36,Quinzenal
42,Masculino,Bolsa,95.0,Venmo,12,A cada 3 meses
69,Masculino,Meias,79.0,Dinheiro,49,Trimestral
28,Masculino,Tenis,39.0,Cartao de Credito,7,Anual
47,Masculino,Jaqueta,34.0,Cartao de Debito,28,Mensal
69,Masculino,Agasalho,28.0,PayPal,30,Anual
56,Masculino,Sandalias,38.0,Cartao de Debito,29,Mensal
28,Masculino,Sapato,55.0,Cartao de Credito,9,A cada 3 meses
50,Masculino,Sandalias,31.0,PayPal,27,Quinzenal
39,Masculino,Casaco,84.0,Dinheiro,21,Quinzenal
35,Masculino,Luvas,93.0,Transferencia Bancaria,36,Mensal
59,Masculino,Casaco,28.0,Cartao de Debito,19,Anual
44,Masculino,Botas,55.0,Cartao de Debito,47,Semanal
66,Masculino,Saia,63.0,Dinheiro,38,Anual
20,Masculino,Saia,94.0,Cartao de Credito,22,Duas vezes/semana
45,Masculino,Calca,36.0,Cartao de Credito,29,Duas vezes/semana
49,Masculino,Bone,97.0,Venmo,42,Anual
60,Masculino,Mochila,63.0,Venmo,47,A cada 3 meses
61,Masculino,Cachecol,77.0,Cartao de Credito,10,Duas vezes/semana
36,Masculino,Cachecol,53.0,Cartao de Credito,10,Mensal
33,Masculino,Camisa,77.0,Dinheiro,1,A cada 3 meses
49,Masculino,Botas,79.0,Cartao de Credito,7,Mensal
31,Masculino,Casaco,37.0,Venmo,10,Quinzenal
19,Masculino,Cinto,94.0,Dinheiro,11,Semanal
39,Masculino,Botas,76.0,PayPal,5,Anual
66,Masculino,Tenis,68.0,PayPal,21,Trimestral
25,Masculino,Camisa,65.0,Dinheiro,24,Trimestral
63,Masculino,Blusa,24.0,Venmo,37,Quinzenal
56,Masculino,Jaqueta,31.0,Dinheiro,22,A cada 3 meses
20,Masculino,Saia,89.0,Cartao de Credito,16,Quinzenal
58,Masculino,Meias,49.0,Venmo,44,Mensal
34,Masculino,Sandalias,92.0,Cartao de Credito,14,Duas vezes/semana
28,Masculino,Camiseta,32.0,Transferencia Bancaria,23,A cada 3 meses
22,Masculino,Jaqueta,67.0,Transferencia Bancaria,46,Quinzenal
37,Masculino,Cinto,64.0,Cartao de Credito,46,A cada 3 meses
54,Masculino,Sapato,84.0,PayPal,16,A cada 3 meses
65,Masculino,Blusa,34.0,Venmo,40,A cada 3 meses
57,Masculino,Sapato,26.0,Transferencia Bancaria,21,Anual
38,Masculino,Sueter,50.0,Cartao de Credito,25,Duas vezes/semana
70,Masculino,Botas,46.0,Cartao de Credito,25,Trimestral
56,Masculino,Bolsa,71.0,Cartao de Credito,25,A cada 3 meses
56,Masculino,Blusa,78.0,Dinheiro,27,Mensal
22,Masculino,Saia,35.0,PayPal,12,Mensal
57,Masculino,Mochila,58.0,Transferencia Bancaria,27,Trimestral
53,Masculino,Camisa,67.0,Transferencia Bancaria,40,Duas vezes/semana
53,Masculino,Sueter,93.0,Transferencia Bancaria,38,Trimestral
19,Masculino,Cachecol,81.0,Venmo,44,A cada 3 meses
49,Masculino,Bolsa,80.0,Cartao de Debito,27,A cada 3 meses
44,Masculino,Cachecol,64.0,Dinheiro,30,A cada 3 meses
27,Masculino,Jeans,41.0,Venmo,24,Mensal
60,Masculino,Meias,79.0,PayPal,38,Duas vezes/semana
62,Masculino,Óculos de Sol,60.0,Cartao de Credito,4,Trimestral
52,Masculino,Tenis,91.0,Dinheiro,32,Mensal
30,Masculino,Sapato,66.0,PayPal,32,Quinzenal
66,Masculino,Meias,85.0,Transferencia Bancaria,28,Duas vezes/semana
29,Masculino,Óculos de Sol,38.0,Cartao de Credito,6,A cada 3 meses
24,Masculino,Sueter,23.0,Cartao de Debito,24,Mensal
51,Masculino,Sapato,71.0,Cartao de Debito,38,Semanal
67,Masculino,Meias,25.0,PayPal,28,Anual
50,Masculino,Botas,39.0,Cartao de Debito,9,Quinzenal
37,Masculino,Agasalho,20.0,Transferencia Bancaria,21,A cada 3 meses
69,Masculino,Luvas,73.0,Dinheiro,31,Mensal
60,Masculino,Mochila,63.0,PayPal,18,Trimestral
21,Masculino,Luvas,94.0,Venmo,5,Semanal
44,Masculino,Blusa,94.0,Venmo,22,Anual
26,Masculino,Cachecol,71.0,Cartao de Debito,37,Duas vezes/semana
40,Masculino,Bone,77.0,Cartao de Credito,22,Mensal
41,Masculino,Cachecol,66.0,Cartao de Credito,36,Quinzenal
62,Masculino,Sandalias,23.0,Transferencia Bancaria,23,Anual
39,Masculino,Sueter,60.0,Cartao de Debito,44,Semanal
53,Masculino,Mochila,72.0,Dinheiro,25,Anual
24,Masculino,Blusa,35.0,Cartao de Debito,40,Trimestral
41,Masculino,Cachecol,31.0,Venmo,12,Semanal
19,Masculino,Meias,33.0,Cartao de Credito,14,Mensal
